Publication	taxa	pct of publications	pct of taxa
Bull. Wagner Inst. Sci. Philadelphia	1	65.55%	96.73%
Bull. Washburn Lab. Nat. Hist.	1	65.56%	96.73%
Bull. Wisconsin Geol. Nat. Hist. Surv.	1	65.58%	96.73%
Bureau of Mineral Resources (Australia) Bull.	1	65.60%	96.73%
Burman Pl. Asiat. (Posthum. Pap.)	1	65.61%	96.73%
Bussey Inst. Harvard Univ.	1	65.63%	96.73%
Byogaichu-Hoten	1	65.65%	96.74%
Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. ser.	1	65.66%	96.74%
Cact. J. (London)	1	65.68%	96.74%
Cact. Paris	1	65.69%	96.74%
Cactac. Jahrb. Dtsch. Kakteenges.	1	65.71%	96.74%
Cactaceae pt.	1	65.73%	96.74%
Cactaceae Syst. Init.	1	65.74%	96.75%
Cagajanskaja Fl. Amurskoj Obl.	1	65.76%	96.75%
Cah. La Maboke	1	65.78%	96.75%
Cah. Rech. Agron.	1	65.79%	96.75%
Calcutta Roy. Bot. Gard.	1	65.81%	96.75%
Campo Rio de Janeiro	1	65.82%	96.75%
Canad. Geol. Surv. Mem.	1	65.84%	96.75%
Canad. J. Res., Sect. C, Bot. Sci.	1	65.86%	96.76%
Canad. Naturalist & Quart. J. Sci.	1	65.87%	96.76%
Canad. Techn. Rep. Hydrogr. Ocean Sci.	1	65.89%	96.76%
Canistropsis Bromel. Atl. Forests	1	65.91%	96.76%
Carboni Foss. Terreni Mioceni Maremme Toscane	1	65.92%	96.76%
Carinthia	1	65.94%	96.76%
Carlosia Samp. Nov. Gen. Liquen. Nota Apresent. Congr.	1	65.95%	96.77%
Carnegie Inst. Wash. Year Book	1	65.97%	96.77%
Cas. Nár. Muz., Odd. Prír.	1	65.99%	96.77%
Castanea	1	66.00%	96.77%
Cat. Bot.	1	66.02%	96.77%
Cat. Fl. Austriae	1	66.03%	96.77%
Cat. Hist. Nat. Corrientes	1	66.05%	96.77%
Cat. Horti Acad. Vindobonensis	1	66.07%	96.78%
Cat. Hortus Bollw.	1	66.08%	96.78%
Cat. Indian Pl.	1	66.10%	96.78%
Cat. Jard. Gorenki vi.	1	66.12%	96.78%
Cat. Mesozoic Plants Dept. Geol. Brit. Mus., Jurass. Flora	1	66.13%	96.78%
Cat. Musc. Amaz. And.	1	66.15%	96.78%
Cat. Musc. Amazon. And.	1	66.16%	96.79%
Cat. Orch.-Sammlung Ovelgönne ed.	1	66.18%	96.79%
Cat. Paleoz. Foss. Pl. N. Amer. [8].	1	66.20%	96.79%
Cat. Pesth.	1	66.21%	96.79%
Cat. Pl. Bombay Add.	1	66.23%	96.79%
Cat. Pl. Bombay addenda, pag. sine num.	1	66.25%	96.79%
Cat. Pl. Exot. Collect. Monville	1	66.26%	96.79%
Cat. Pl. Hort. Camaldulensis ed.	1	66.28%	96.80%
Cat. Pl. Maroc.	1	66.29%	96.80%
Cat. Pl. Omises Botanogr. Belg.	1	66.31%	96.80%
Cat. Pl. Talbot S. Nigeria	1	66.33%	96.80%
Cat. Pl. Tunisie	1	66.34%	96.80%
Cat. Pl. Yun-Nan	1	66.36%	96.80%
Cat. Rais. Pl. Cell. Tunisie	1	66.37%	96.81%
Cat. Rare Flow.	1	66.39%	96.81%
Cat. Trees	1	66.41%	96.81%
Cat. Vasc. Pl. S. Tomé	1	66.42%	96.81%
Catal.	1	66.44%	96.81%
Catal. Diat. [208].	1	66.46%	96.81%
Catal. Gén. Diat.	1	66.47%	96.81%
Catalogue	1	66.49%	96.82%
Cedr. Lib. Hist. (1):	1	66.50%	96.82%
Census Gen. Pl.	1	66.52%	96.82%
Cent.	1	66.54%	96.82%
Cent. Pl. Rar. Ross.	1	66.55%	96.82%
Cent. Pl. Rar. Ross. t.	1	66.57%	96.82%
Centr. Asian Univ. Stud. N. S.	1	66.59%	96.83%
Centralbl. Gesammte Forstwesen	1	66.60%	96.83%
Centralbl. Mineral.	1	66.62%	96.83%
Centre Natl. Géol. Houillère Publ.	1	66.63%	96.83%
Centur. Pl. Rar. Ross. t.	1	66.65%	96.83%
Century Dict.	1	66.67%	96.83%
Ceylon J. Sci., Biol. Sci.	1	66.68%	96.83%
Chain Life Geol. Time	1	66.70%	96.84%
Char. Schichten Petref.	1	66.72%	96.84%
Charact. Gen. Index Gen. No.	1	66.73%	96.84%
Check List Pleuroc. Mosses N. Amer.	1	66.75%	96.84%
Checklist Bromeliad Hybrids Australia	1	66.76%	96.84%
Chemismus Pflanzenzelle	1	66.78%	96.84%
Chin. Sci. Bull.	1	66.80%	96.85%
Chlor. Protog. LII.	1	66.81%	96.85%
Chlor. Protog. LXXVII.	1	66.83%	96.85%
Chlor. Protog. LXXXIII.	1	66.84%	96.85%
Chloris Aetn.	1	66.86%	96.85%
Choix Pl. Nouv.-Zélande	1	66.88%	96.85%
Chron. Bot.	1	66.89%	96.85%
Chron. Orchid.	1	66.91%	96.86%
Ci & Cult.	1	66.93%	96.86%
Cinq Mois Pays Somalis	1	66.94%	96.86%
Circ. State Bur. Mines Mineral Resources New Mexico	1	66.96%	96.86%
Class. Crucif. Emend.	1	66.97%	96.86%
Classification Lower Organisms	1	66.99%	96.86%
Clim. Géol. Géogr. Bot. Brésil	1	67.01%	96.87%
Coll. Hawaii Publ. Bull.	1	67.02%	96.87%
Collect. Bot. t.	1	67.04%	96.87%
Collect. Lichenol.	1	67.06%	96.87%
Collect. Orchidées Archip. Ind.	1	67.07%	96.87%
Colorado Cact.	1	67.09%	96.87%
Colored Fig. English Fungi	1	67.10%	96.87%
Colored Fig. English Fungi Suppl. t.	1	67.12%	96.88%
Colour Encycl. Cacti	1	67.14%	96.88%
Com. Serv. Geol. Portugal	1	67.15%	96.88%
Comm. Biol. Helsingfors	1	67.17%	96.88%
Comm. Bot. Conif. Cycad.	1	67.19%	96.88%
Comm. Inst. Nat. Cienc. Nat. Bot.	1	67.20%	96.88%
Comm. Pl. Afr. Austr.	1	67.22%	96.89%
Comm. Soc. Crittog. Ital	1	67.23%	96.89%
Comment. Crittog. Ital.	1	67.25%	96.89%
Comment. Pl. Africae Austral.	1	67.27%	96.89%
Commentat. Biol.	1	67.28%	96.89%
Commentat. Psarolithis ?.	1	67.30%	96.89%
Commentat. Soc. Regiae Sci. Gott. Cl. Phys.	1	67.31%	96.89%
Commentat. Soc. Regiae Sci. Gott. Recent.	1	67.33%	96.90%
Commentat. Soc. Regiae Sci. Gott. Recent. Cl. Phys.	1	67.35%	96.90%
Commentat. Soc. Regiae Sci. Gott. ser.	1	67.36%	96.90%
Commun. Direção Trab. Geol. Portugal	1	67.38%	96.90%
Comp. Analysis Spore-Pollen Complexes Jurassic Deposits S. Part W. Siberia (Moscow)	1	67.40%	96.90%
Comp. Bot. Mag.	1	67.41%	96.90%
Comp. Invest. Bryopsis & Derbesia	1	67.43%	96.91%
Comp. Rend. Assoc. Franç. Avancem. Sci. La Rochelle	1	67.44%	96.91%
Compend. Fl. N. Middle States	1	67.46%	96.91%
Compt. Rend. Acad. Agr. Fr.	1	67.48%	96.91%
Compt. Rend. Deux. Congr. Avancem. Ótudes Stratigr. Carbon.	1	67.49%	96.91%
Compt. Rend. Hebd. Séances Acad. Sci. Paris	1	67.51%	96.91%
Compt. Rend. Hebd. Séances Acad. Sci., Sér.	1	67.53%	96.91%
Compt. Rend. Hedb. Séances Acad. Sci. Sér. D	1	67.54%	96.92%
Compt. Rend. Séances Acad. Sci., Sér.	1	67.56%	96.92%
Compt. Rend. Séances Soc. Biol.	1	67.57%	96.92%
Compt. Rend. Séances Soc. Phys. Genève	1	67.59%	96.92%
Compt. Rend. Séances Soc. Phys. Genève ser.	1	67.61%	96.92%
Compt. Rend. Soc. Géol. France	1	67.62%	96.92%
Compt. Rend. Sommaire Séances Soc. Géol. France	1	67.64%	96.93%
Compt. Rend. Sommaire Soc. Geol. France	1	67.66%	96.93%
Compt.-Rend. Hebd. Soc. Biol.	1	67.67%	96.93%
Compt.-Rend. Hedb. Séances Mém. Soc. Biol.	1	67.69%	96.93%
Comun. Acad. Republ. Populare Romîne	1	67.70%	96.93%
Comun. Mus. Argent. Ci. Nat. 'Bernardino Rivadavia'	1	67.72%	96.93%
Congr. Nac. Soc. Bot. Brasil	1	67.74%	96.93%
Consid. Gén. Vég. Vosges	1	67.75%	96.94%
Consp. Fl. Angol.	1	67.77%	96.94%
Consp. Fl. Asiae Med.	1	67.78%	96.94%
Consp. Fungorum	1	67.80%	96.94%
Contr. Biol. Lab. Chin. Assoc. Advancem. Sci.	1	67.82%	96.94%
Contr. Bolus Herb.	1	67.83%	96.94%
Contr. Colomb. Cienc. Arts	1	67.85%	96.95%
Contr. Conh. Fl. Moçambique,	1	67.87%	96.95%
Contr. Dept. Pl. Pathol. Roy. Vet. Agric. Coll. Copenhagen	1	67.88%	96.95%
Contr. Étude Fl. Mycol. Landes	1	67.90%	96.95%
Contr. Étude Palynol. Petrogr. Charb. Fr. (Fac. Sci. Univ. Paris)	1	67.91%	96.95%
Contr. Fauna Fl. Clydesdale (Glasgow Soc. Field Naturalists)	1	67.93%	96.95%
Contr. Fl. Katanga Suppl.	1	67.95%	96.95%
Contr. Lichénogr.	1	67.96%	96.96%
Contr. Mus. Paleontol. Michigan	1	67.98%	96.96%
Contr. Phycol.	1	68.00%	96.96%
Contrib. Fl. Cryptog. Asiae Boreali-Orient.	1	68.01%	96.96%
Coroll. Bryol. Eur.	1	68.03%	96.96%
Correction (Stockholm) [1].	1	68.04%	96.96%
Cose Bot.	1	68.06%	96.97%
Coton Fibres Trop.	1	68.08%	96.97%
Crit. Overz. Olacineae	1	68.09%	96.97%
Crit. Rev. Upper Pennsylvanian Fl.	1	68.11%	96.97%
Cronaca Briol. Ital.	1	68.13%	96.97%
Crypt. Vasc. Brés.	1	68.14%	96.97%
Cryptog. Bryol.	1	68.16%	96.97%
Cycl. Am. Hort.	1	68.17%	96.98%
Cyp. Gram. Sicul.	1	68.19%	96.98%
Czech Mycol.	1	68.21%	96.98%
Dagbok Ostind. Resa	1	68.22%	96.98%
Danish Sci. Invest. Iran	1	68.24%	96.98%
Danm. Moss.	1	68.25%	96.98%
De Acido Veg.	1	68.27%	96.99%
De Lepra Comm.	1	68.29%	96.99%
De Nov. Fam. Expos.	1	68.30%	96.99%
De Schimmelgeslachten Monilia	1	68.32%	96.99%
De Voitia & Systylio	1	68.34%	96.99%
Dec. Pl. Amur. ad t.	1	68.35%	96.99%
Dec. Prima Pl. Rar. Horti Upsal.	1	68.37%	96.99%
Decade Curious Elegant Trees	1	68.38%	97.00%
Decades Mycol. Ital.	1	68.40%	97.00%
Decas Gen.	1	68.42%	97.00%
Decas Pl. Nov.	1	68.43%	97.00%
Decas Prima Pl. Rar. Horti. Upsal. t.	1	68.45%	97.00%
Del. Sem. Horti Dorpat.	1	68.47%	97.00%
Delaware Coll. Agric. Exp. Sta. Bull.	1	68.48%	97.01%
Delect. Sem. Hort. Bot. Panorm.	1	68.50%	97.01%
Delect. Sem. Hort. Bot. Reg. Kujbyshev	1	68.51%	97.01%
Delect. Sem. Horto Heidelberg	1	68.53%	97.01%
Delect. Seminum Hortus Monac.	1	68.55%	97.01%
Delenie Terrigennogo Devona Uralo-Povalz'ja Osnovanii Iskopaemyh Rast.	1	68.56%	97.01%
Delic. Fl. Faunae Insubr.	1	68.58%	97.01%
Delic. Prag.	1	68.60%	97.02%
Denison Univ. Bull.	1	68.61%	97.02%
Denkschr. Akad. Math.-Naturw. Kl. [Wien]	1	68.63%	97.02%
Denkschr. Fünfzig Jähr. [Schles. Ges. Vaterl. Kultur]	1	68.64%	97.02%
Descr. Check List Gold Coast	1	68.66%	97.02%
Descr. Géol. Envir. Paris	1	68.68%	97.02%
Descr. Musc. Frond.	1	68.69%	97.03%
Descr. Nuov. Gen.	1	68.71%	97.03%
Descr. Pl. Foss. Bass. Paris (Paris)	1	68.72%	97.03%
Descr. Pl. Nouv. Jard. Cels ad t.	1	68.74%	97.03%
Descr. Pl. Rar.	1	68.76%	97.03%
Descr. Pl. Rar. Malmaison	1	68.77%	97.03%
Descript. Cact. Nov.	1	68.79%	97.03%
Descript. Cact. Nov. [1]:	1	68.81%	97.04%
Descript. Cinchona	1	68.82%	97.04%
Descript. Egypte, Hist. Nat.	1	68.84%	97.04%
Descript. Géol. Environs Paris	1	68.85%	97.04%
Descript. Icon. Pl. Hung.	1	68.87%	97.04%
Descript. Pinus	1	68.89%	97.04%
Descript. Pl. Foss. Bassin Paris	1	68.90%	97.05%
Descript. Pl. Nov.	1	68.92%	97.05%
Descript. Pl. Nov. Fedtschenko	1	68.94%	97.05%
Descript. Pl. Progr.	1	68.95%	97.05%
Deut. Essigind.	1	68.97%	97.05%
Deut. Fl.	1	68.98%	97.05%
Deutsch-Südwest Afrika	1	69.00%	97.05%
Deutsch. Naturf. Amtliche Ver.	1	69.02%	97.06%
Deutsch. Schwamme	1	69.03%	97.06%
Deutsche Baumschule	1	69.05%	97.06%
